Column1;index;stress;reaction_time;id_user;physical_activity;airplane_mode;surrounding_sound;screen;battery_level;completion_time;day_of_week;mobile_data;delivery_time;wifi;interruptibility_level;stress_level;charge_status;notification_ringtone;current_activity;priority_current_activity;id_user_1;attention_level;emotions;timestamp;interaction_others
80;244;0;;XXc0xwy4ZQpL3SM8pfiZ;0;0;76.84968567;0;74;;4;0;7/12/2023 15:52;1;;2;0;2;;;XXc0xwy4ZQpL3SM8pfiZ;3;{'fearful': 3.0077852308070736e-06, 'disgusted': 0.00013717736548185403, 'angry': 0.04287023575100292, 'sad': 0.10620618658197795, 'surprised': 2.9475154158713016e-06, 'neutral': 0.849706224894718, 'happy': 0.0010741941583872422};7/12/2023 15:52;0
84;39;0;;XXc0xwy4ZQpL3SM8pfiZ;1;0;90.28298187;0;84;;4;0;7/12/2023 13:43;1;;3;0;2;;;XXc0xwy4ZQpL3SM8pfiZ;3;{'fearful': 4.864389598589751e-14, 'disgusted': 2.099271201316809e-09, 'angry': 1.3097773262415994e-05, 'sad': 0.0002902103587985037, 'surprised': 5.277993153640641e-08, 'neutral': 0.9996965527534476, 'happy': 8.360319725397849e-08};7/12/2023 13:43;0
91;151;1;;XgGpKa0LW74g5jxci1DF;1;0;78.09647369;0;31;;3;0;6/12/2023 16:24;1;;5;0;2;;;XgGpKa0LW74g5jxci1DF;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 16:24;-1
107;289;0;;YmIggFiYE0bKQH45D32l;1;0;66.17128754;1;73;;4;0;14/12/2023 15:05;1;;5;0;2;;;YmIggFiYE0bKQH45D32l;3;{'fearful': 0.00016509360987855608, 'disgusted': 0.0004927320031716936, 'angry': 0.24867867149794814, 'sad': 0.7286241070027104, 'surprised': 3.19142973268343e-05, 'neutral': 0.021730799655968594, 'happy': 0.0002766913545971036};14/12/2023 15:05;0
110;59;0;;YmIggFiYE0bKQH45D32l;0;0;69.43756866;0;78;;4;0;14/12/2023 13:35;1;;5;0;2;;;YmIggFiYE0bKQH45D32l;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};14/12/2023 13:35;-1
112;9;0;;YmIggFiYE0bKQH45D32l;0;0;81.83193207;0;82;;4;0;14/12/2023 12:35;1;;2;0;2;;;YmIggFiYE0bKQH45D32l;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};14/12/2023 12:35;-1
114;279;0;;YmIggFiYE0bKQH45D32l;1;0;79.03354645;0;87;;4;0;14/12/2023 11:22;1;;2;0;2;;;YmIggFiYE0bKQH45D32l;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};14/12/2023 11:22;-1
131;66;0;;a4WMbN9tbZerp3MnLsRP;0;0;57.91949463;0;78;;2;1;16/01/2024 16:28;0;;5;0;2;;;a4WMbN9tbZerp3MnLsRP;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};16/01/2024 16:28;-1
134;270;0;;a4WMbN9tbZerp3MnLsRP;0;0;73.56125641;0;83;;2;1;16/01/2024 14:58;0;;5;0;2;;;a4WMbN9tbZerp3MnLsRP;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};16/01/2024 14:58;-1
142;32;0;;a4WMbN9tbZerp3MnLsRP;0;0;90.30873108;0;100;;2;0;16/01/2024 10:56;1;;1;0;2;;;a4WMbN9tbZerp3MnLsRP;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};16/01/2024 10:55;-1
145;163;0;;bH4H8otePZ9isvYLDACq;0;0;70.9407196;0;84;;5;0;15/12/2023 12:24;1;;1;0;2;;;bH4H8otePZ9isvYLDACq;3;{'fearful': 4.346048242339704e-06, 'disgusted': 0.00013361141040135752, 'angry': 0.0026897261645097066, 'sad': 0.11085444595664737, 'surprised': 1.510747816101845e-05, 'neutral': 0.8844208436853744, 'happy': 0.0018819243106169296};15/12/2023 12:24;0
149;294;0;;bH4H8otePZ9isvYLDACq;1;0;90.30873108;0;48;;3;0;13/12/2023 13:48;1;;3;0;2;;;bH4H8otePZ9isvYLDACq;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};13/12/2023 13:48;-1
153;3;0;;bH4H8otePZ9isvYLDACq;0;0;81.16016388;0;55;;3;1;13/12/2023 11:47;1;;5;0;2;;;bH4H8otePZ9isvYLDACq;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};13/12/2023 11:47;-1
155;26;0;;bH4H8otePZ9isvYLDACq;0;0;77.19116974;0;61;;3;1;13/12/2023 10:43;1;;2;0;2;;;bH4H8otePZ9isvYLDACq;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};13/12/2023 10:43;-1
158;126;0;;bH4H8otePZ9isvYLDACq;1;0;70.12468719;0;67;;3;0;13/12/2023 08:58;1;;2;0;2;;;bH4H8otePZ9isvYLDACq;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};13/12/2023 08:58;-1
159;262;0;;bH4H8otePZ9isvYLDACq;0;0;60.89079285;0;68;;3;0;13/12/2023 08:28;1;;2;0;2;;;bH4H8otePZ9isvYLDACq;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};13/12/2023 08:28;-1
164;102;0;;bH4H8otePZ9isvYLDACq;0;0;80.57061005;0;83;;2;0;12/12/2023 10:34;1;;5;0;2;;;bH4H8otePZ9isvYLDACq;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};12/12/2023 10:34;-1
169;4;0;;cyDWpmMeasocMsZotTDW;0;0;65.91133881;0;78;;4;0;30/11/2023 14:48;1;;2;0;2;;;cyDWpmMeasocMsZotTDW;3;{'fearful': 0.010564010276047168, 'disgusted': 0.0026492567572917176, 'angry': 0.27590806673454105, 'sad': 0.05807875314167178, 'surprised': 0.03266980171796594, 'neutral': 0.40297320398856257, 'happy': 0.2171568928917739};30/11/2023 14:48;0
170;213;0;;cyDWpmMeasocMsZotTDW;0;0;54.96376038;0;79;;4;0;30/11/2023 14:18;1;;5;0;2;;;cyDWpmMeasocMsZotTDW;3;{'fearful': 1.9072969940751977e-06, 'disgusted': 1.4766138309930424e-05, 'angry': 0.044971552654820134, 'sad': 0.0008658443902450704, 'surprised': 0.004663826590714037, 'neutral': 0.8802369573478567, 'happy': 0.06924515156153128};30/11/2023 14:18;0
177;109;0;;d7ovggO1a0MticyeQVG9;1;0;83.83236694;0;88;;5;1;15/12/2023 15:53;1;;5;0;2;;;d7ovggO1a0MticyeQVG9;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};15/12/2023 15:53;-1
188;202;0;;d7ovggO1a0MticyeQVG9;1;0;82.50247192;0;34;;3;1;13/12/2023 13:31;1;;5;0;2;;;d7ovggO1a0MticyeQVG9;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};13/12/2023 13:31;-1
194;186;0;;dUE6bsuFDFNgbuJAplFb;0;0;71.98236847;0;74;;5;0;24/11/2023 16:00;1;;1;0;2;;;dUE6bsuFDFNgbuJAplFb;3;{'fearful': 0.00010166225301115143, 'disgusted': 0.008065373137384313, 'angry': 0.11302950002936994, 'sad': 0.6737478350599606, 'surprised': 0.00015248357602345072, 'neutral': 0.175807855615858, 'happy': 0.02909533899583039};24/11/2023 15:59;0
195;68;0;;dUE6bsuFDFNgbuJAplFb;0;0;65.11027527;0;75;;5;0;24/11/2023 15:30;1;;3;0;2;;;dUE6bsuFDFNgbuJAplFb;3;{'fearful': 0.008819186849141082, 'disgusted': 0.07202094271848704, 'angry': 0.11184319929466549, 'sad': 0.11967535668060238, 'surprised': 0.04532784656159066, 'neutral': 0.6063096303494402, 'happy': 0.036003839835080126};24/11/2023 15:29;0
200;84;0;24/11/2023 12:33;dUE6bsuFDFNgbuJAplFb;1;0;66.15847778;0;89;;5;0;24/11/2023 12:04;1;;3;0;2;;;dUE6bsuFDFNgbuJAplFb;3;{'fearful': 0.0007073483240208357, 'disgusted': 0.006745511383497126, 'angry': 0.024713348335642878, 'sad': 0.20255145332395652, 'surprised': 0.002293497053574035, 'neutral': 0.7141126952640572, 'happy': 0.048876141400969235};24/11/2023 12:04;0
202;31;0;;dUE6bsuFDFNgbuJAplFb;0;0;67.29102325;0;91;;5;0;24/11/2023 11:04;1;;3;0;2;;;dUE6bsuFDFNgbuJAplFb;3;{'fearful': 6.741066019583629e-05, 'disgusted': 8.059214105499965e-05, 'angry': 0.0010119318597212852, 'sad': 0.06504786369782584, 'surprised': 6.228659215683554e-05, 'neutral': 0.9320892247788869, 'happy': 0.0016406858056966364};24/11/2023 11:04;0
214;215;0;;erj1X6MFCo5o4NEboJb6;0;0;76.94033813;0;29;;1;0;4/12/2023 15:29;1;;3;0;2;;;erj1X6MFCo5o4NEboJb6;3;{'fearful': 1.4301626594241758e-05, 'disgusted': 7.35280264115232e-05, 'angry': 0.001013900241901326, 'sad': 0.015048492386646274, 'surprised': 0.00473359019399097, 'neutral': 0.9628892273331684, 'happy': 0.016226956126002893};4/12/2023 15:29;0
215;52;0;;erj1X6MFCo5o4NEboJb6;1;0;81.51896667;0;32;;1;0;4/12/2023 14:59;1;;2;0;2;;;erj1X6MFCo5o4NEboJb6;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};4/12/2023 14:59;-1
216;268;0;;erj1X6MFCo5o4NEboJb6;0;0;83.28349304;0;34;;1;1;4/12/2023 14:29;1;;2;0;2;;;erj1X6MFCo5o4NEboJb6;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};4/12/2023 14:29;-1
217;156;0;;erj1X6MFCo5o4NEboJb6;0;0;80.33732605;0;36;;1;0;4/12/2023 13:59;1;;2;0;2;;;erj1X6MFCo5o4NEboJb6;3;{'fearful': 6.867715968310779e-07, 'disgusted': 0.030843608915869333, 'angry': 0.020133957830630312, 'sad': 0.004062710610848274, 'surprised': 0.005940645793130852, 'neutral': 0.8573529398264853, 'happy': 0.08166546108058308};4/12/2023 13:59;0
218;225;0;;erj1X6MFCo5o4NEboJb6;0;0;71.22203064;0;75;;1;0;4/12/2023 13:27;1;;1;0;2;;;erj1X6MFCo5o4NEboJb6;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};4/12/2023 13:27;-1
222;76;1;;erj1X6MFCo5o4NEboJb6;0;0;64.88059235;0;51;;1;1;4/12/2023 11:12;1;;5;1;2;;;erj1X6MFCo5o4NEboJb6;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};4/12/2023 11:12;-1
223;61;1;;erj1X6MFCo5o4NEboJb6;0;0;59.19989777;0;43;;1;1;4/12/2023 10:42;1;;5;1;2;;;erj1X6MFCo5o4NEboJb6;3;{'fearful': 0.0004188808960032753, 'disgusted': 0.0015006775596191346, 'angry': 0.30575803057217854, 'sad': 0.4304339911323041, 'surprised': 0.015505024194194788, 'neutral': 0.21475386075024971, 'happy': 0.03162954659962311};4/12/2023 10:42;0
224;159;1;;erj1X6MFCo5o4NEboJb6;0;0;65.9245224;0;34;;1;1;4/12/2023 10:12;1;;5;1;2;;;erj1X6MFCo5o4NEboJb6;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};4/12/2023 10:12;-1
225;129;1;;gMoPizShoBD8dMUl4Phi;0;0;66.74519348;0;48;;5;0;1/12/2023 16:04;1;;5;0;2;;;gMoPizShoBD8dMUl4Phi;3;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};1/12/2023 16:04;-1
227;83;0;;gMoPizShoBD8dMUl4Phi;1;0;83.86081696;0;59;;5;1;1/12/2023 13:05;1;;4;0;2;;;gMoPizShoBD8dMUl4Phi;3;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};1/12/2023 13:05;-1
229;0;0;;gMoPizShoBD8dMUl4Phi;0;0;65.20619965;0;62;;5;0;1/12/2023 12:05;1;;3;0;2;;;gMoPizShoBD8dMUl4Phi;3;{'fearful': 6.480054625928395e-06, 'disgusted': 0.005572164667307977, 'angry': 0.26324199889057753, 'sad': 0.14181607418288422, 'surprised': 0.00016138485951072354, 'neutral': 0.5871825370631996, 'happy': 0.00201935264788089};1/12/2023 12:05;0
231;169;0;;gMoPizShoBD8dMUl4Phi;0;0;80.86331177;0;66;;5;1;1/12/2023 11:05;1;;5;0;2;;;gMoPizShoBD8dMUl4Phi;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};1/12/2023 11:05;-1
232;124;0;;gMoPizShoBD8dMUl4Phi;1;0;79.0539093;0;67;;5;0;1/12/2023 10:35;1;;1;0;2;;;gMoPizShoBD8dMUl4Phi;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};1/12/2023 10:35;-1
233;229;0;;gMoPizShoBD8dMUl4Phi;0;0;77.51280212;0;69;;5;0;1/12/2023 10:05;1;;1;0;2;;;gMoPizShoBD8dMUl4Phi;3;{'fearful': 5.380561757722164e-05, 'disgusted': 0.06563074393780206, 'angry': 0.15158415650069437, 'sad': 0.32740468286031466, 'surprised': 0.000640994226671789, 'neutral': 0.4332119152859377, 'happy': 0.021473716256009693};1/12/2023 10:05;0
236;240;0;;gMoPizShoBD8dMUl4Phi;0;0;68.75501251;0;50;;2;0;28/11/2023 11:58;1;;4;1;2;;;gMoPizShoBD8dMUl4Phi;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};28/11/2023 11:58;-1
238;286;0;;gMoPizShoBD8dMUl4Phi;0;0;72.72172546;0;30;;2;0;28/11/2023 10:34;1;;4;1;2;;;gMoPizShoBD8dMUl4Phi;3;{'fearful': 1.7750773295688305e-08, 'disgusted': 2.7830385107563416e-08, 'angry': 0.0008910703472793102, 'sad': 0.01680060103535652, 'surprised': 1.1095493391621858e-05, 'neutral': 0.9822951555252075, 'happy': 2.012938466577907e-06};28/11/2023 10:34;0
241;196;0;;szRMTRYT7Yt33RjxB53V;0;0;90.30873108;1;62;;3;0;22/11/2023 13:49;1;;2;0;2;;;szRMTRYT7Yt33RjxB53V;-1;{'fearful': 3.675455664446196e-05, 'disgusted': 0.0027425688707201816, 'angry': 0.008590732933953404, 'sad': 0.011286845479238156, 'surprised': 0.00414400521512448, 'neutral': 0.8623795111974081, 'happy': 0.11081954588492711};22/11/2023 13:49;0
254;137;0;;vv3rbjOggOgrA7nCX4Gx;1;0;67.74423218;0;50;;1;0;11/12/2023 16:40;1;;3;0;1;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};11/12/2023 16:40;-1
259;93;0;;vv3rbjOggOgrA7nCX4Gx;1;0;89.95600891;0;72;;1;1;11/12/2023 11:56;1;;2;0;1;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};11/12/2023 11:56;-1
260;57;0;;vv3rbjOggOgrA7nCX4Gx;1;0;78.27627563;0;74;;1;1;11/12/2023 11:26;1;;4;0;1;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};11/12/2023 11:26;-1
262;206;0;;vv3rbjOggOgrA7nCX4Gx;1;0;78.05636597;0;77;;1;1;11/12/2023 10:26;1;;3;0;1;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};11/12/2023 10:26;-1
265;116;0;;vv3rbjOggOgrA7nCX4Gx;0;0;62.05553055;0;87;;4;0;7/12/2023 13:29;1;;2;0;2;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};7/12/2023 13:29;-1
270;157;0;;vv3rbjOggOgrA7nCX4Gx;1;0;64.58851624;0;95;;4;0;7/12/2023 10:44;1;;1;0;2;;;vv3rbjOggOgrA7nCX4Gx;3;{'fearful': 0.0030783155741521914, 'disgusted': 0.028949549228357123, 'angry': 0.16937500054610682, 'sad': 0.05945827967133526, 'surprised': 0.0011014193565821238, 'neutral': 0.3521978468357009, 'happy': 0.3858395830972032};7/12/2023 10:44;0
272;107;0;;vv3rbjOggOgrA7nCX4Gx;0;0;72.78973389;0;97;;4;0;7/12/2023 09:44;1;;1;0;2;;;vv3rbjOggOgrA7nCX4Gx;3;{'fearful': 1.4881106546968778e-06, 'disgusted': 0.000725721434142143, 'angry': 5.4928614814322425e-05, 'sad': 0.0009768612227016534, 'surprised': 0.0014497865960274947, 'neutral': 0.9766875361092388, 'happy': 0.020103681417758985};7/12/2023 09:44;0
273;110;0;;vv3rbjOggOgrA7nCX4Gx;0;0;80.58361816;0;97;;2;0;28/11/2023 14:29;1;;5;1;2;;;vv3rbjOggOgrA7nCX4Gx;3;{'fearful': 0.0003796248891569366, 'disgusted': 0.00765408849705079, 'angry': 0.03499799107548816, 'sad': 0.5212768186481729, 'surprised': 0.0007901998115804699, 'neutral': 0.3300509407439031, 'happy': 0.10485035112002856};28/11/2023 14:29;0
274;226;0;;vv3rbjOggOgrA7nCX4Gx;1;0;84.33175659;0;99;;2;0;28/11/2023 13:29;1;;5;0;2;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};28/11/2023 13:29;-1
275;290;0;;vv3rbjOggOgrA7nCX4Gx;1;0;77.03861237;0;100;;2;0;28/11/2023 13:01;1;;1;0;2;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};28/11/2023 13:01;-1
276;6;0;;vv3rbjOggOgrA7nCX4Gx;0;0;59.52700043;0;100;;2;0;28/11/2023 12:29;1;;3;1;2;;;vv3rbjOggOgrA7nCX4Gx;3;{'fearful': 2.618102521748171e-05, 'disgusted': 0.025734336737435373, 'angry': 0.07822329441722954, 'sad': 0.329797601843693, 'surprised': 0.0005462705216016776, 'neutral': 0.5234110272665419, 'happy': 0.042261271831771405};28/11/2023 12:29;0
277;269;0;;vv3rbjOggOgrA7nCX4Gx;0;0;59.57273865;0;100;;2;0;28/11/2023 11:59;1;;3;1;2;;;vv3rbjOggOgrA7nCX4Gx;3;{'fearful': 0.01706727413694289, 'disgusted': 0.023787196654514748, 'angry': 0.019173916734871455, 'sad': 0.07482525459136015, 'surprised': 0.2847588614983228, 'neutral': 0.5358107984066011, 'happy': 0.04457671940326691};28/11/2023 11:59;0
278;221;0;;vv3rbjOggOgrA7nCX4Gx;0;0;62.92876434;0;100;;2;0;28/11/2023 11:29;1;;2;0;2;;;vv3rbjOggOgrA7nCX4Gx;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};28/11/2023 11:29;-1
282;293;1;;x34qiVGIqBRhVKKzWz9T;0;0;90.19184113;0;74;;3;0;6/12/2023 14:34;1;;5;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 14:34;-1
284;48;0;;x34qiVGIqBRhVKKzWz9T;1;0;80.63301849;0;78;;3;0;6/12/2023 13:34;1;;3;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 13:34;-1
285;51;0;;x34qiVGIqBRhVKKzWz9T;1;0;79.11183167;0;79;;3;0;6/12/2023 13:04;1;;4;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 13:04;-1
286;168;0;;x34qiVGIqBRhVKKzWz9T;0;0;74.87019348;0;81;;3;1;6/12/2023 12:34;1;;5;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 12:34;-1
288;69;0;;x34qiVGIqBRhVKKzWz9T;0;0;73.50640106;0;87;;3;0;6/12/2023 11:26;1;;2;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 11:26;-1
289;212;1;;x34qiVGIqBRhVKKzWz9T;0;0;64.80599213;0;89;;3;0;6/12/2023 10:56;1;;3;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 2.8365382931383465e-08, 'disgusted': 9.550150934956037e-06, 'angry': 0.9812520742416382, 'sad': 0.0018037357367575169, 'surprised': 8.971942406788003e-06, 'neutral': 0.008485508151352406, 'happy': 0.008440050296485424};6/12/2023 10:56;0
291;120;0;;x34qiVGIqBRhVKKzWz9T;1;0;69.25095367;0;94;;3;0;6/12/2023 09:50;1;;3;0;2;;;x34qiVGIqBRhVKKzWz9T;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};6/12/2023 09:50;-1
292;192;0;;yKRSZtXXsS8BkhepdZhy;0;0;72.48564148;0;86;;5;0;24/11/2023 12:57;1;;5;0;2;;;yKRSZtXXsS8BkhepdZhy;3;{'fearful': 2.5084177149303777e-07, 'disgusted': 1.7265963769663717e-05, 'angry': 0.000664957956331591, 'sad': 0.39297138020629063, 'surprised': 2.915120055679843e-05, 'neutral': 0.5618725838130558, 'happy': 0.04444442013027583};24/11/2023 12:58;0
294;231;0;;yKRSZtXXsS8BkhepdZhy;0;0;85.116539;0;88;;5;0;24/11/2023 11:57;1;;5;0;2;;;yKRSZtXXsS8BkhepdZhy;-1;{'fearful': 0, 'disgusted': 0, 'angry': 0, 'sad': 0, 'surprised': 0, 'neutral': 0, 'happy': 0};24/11/2023 11:58;-1
